status_id,text,favorite_count,retweet_count,place_name,country_code
1071062840142913537,Tutorial: QnA bot with Azure Bot Service - QnA Maker - Azure Cognitive Services https://t.co/pT1u7SlMaB #MSFTAdvocate,0,0,NA,NA
1071062593454784512,RT @RacecarArt: I think he's going to like it here. #SmashBrosUltimate https://t.co/j2JEMj6dhQ,0,756,NA,NA
1071062074107793414,"Advent Calendar day 7 with the Kunai scabbard (https://t.co/tCeSOe7WUP) from  Les Artisans d'Azure.Tag your friend on Instagram to win. 
Yesterday's winner is Ludovic Thierry.

https://t.co/eZfQqEzjNI https://t.co/SLyI1gLwul",1,0,NA,NA
1071062052041605121,"@msft4startups I want to learn to build stuff on serverless from zero on Azure, and I don't know how to code. Where do I start?",0,0,NA,NA
1071062050430808064,輝く蒼穹は 僕らの鏡 今を写した Azure (DEAD OR ALIVE),0,0,NA,NA
1071061966385438720,"@Azure_Valkyrie Well as long as you interested in the game, and find a character you love its still fun to play and you'll get better over time. 👍😃",1,0,NA,NA
1071061956973527040,RT @Navisite: #AzureSQL Webinar! @Navisite and @Microsoft experts will share tips and best practices to help you prepare for SQL 2008 EOS.…,0,2,NA,NA
1071061939130912768,"Microsoft's cloud business could be bigger than Windows by 2021

@jordannovet

https://t.co/pTZghItNxc",5,1,NA,NA
1071061903751839747,Johnson Controls tackles a $15b building industry problem with Azure Cosmos DB https://t.co/olmDpdU1Ur,0,0,NA,NA
1071061809417850880,"Microsoft's cloud business could be bigger than Windows by 2021, KeyBanc says https://t.co/HzRwEQ7MWM",1,1,NA,NA
1071061624369364993,"Anyone tuned in earlier? I just started listening in, not sure if Finacial part has been covered already or not.  $DIG @ArbitradeX     https://t.co/bGxRfbP4RP",0,0,NA,NA
1071061573429616640,"I'm bad at every fighting games... 
Smash bros included =(",1,0,NA,NA
1071061256730304513,"RT @CryptoFan12345: How To Set Up A #Stratis Smart Contracts Beta Full Node https://t.co/n5I5fIfWma via @YouTube
#strat $strat #BTC #Bitcoi…",0,3,NA,NA
1071061151180566528,RT @Navisite: #AzureSQL Webinar! @Navisite and @Microsoft experts will share tips and best practices to help you prepare for SQL 2008 EOS.…,0,2,NA,NA
